"Vaccine","Day","Value","Measurement_type","Cell_Type","Unit","baseline_Day","baseline_Value","normalised"
"TMd21",28,8.13833333333333,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.70833333333333,2.19460674157303
"TMd21",60,5.74416666666667,"Ly6C+ FOXP3- Teff (% tetramer)","CD4","percentage",8,3.70833333333333,1.54898876404494
"IC",8,625666.107544794,"Number of CD4 T cells","CD4","number",8,625666.107544794,1
"IC",14,993524.541981354,"Number of CD4 T cells","CD4","number",8,625666.107544794,1.58794687773658
"IC",28,2677784.12116624,"Number of CD4 T cells","CD4","number",8,625666.107544794,4.27989320322026
"IC",60,621509.23932672,"Number of CD4 T cells","CD4","number",8,625666.107544794,0.993356091742949
"SOL",8,759144.070939246,"Number of CD4 T cells","CD4","number",8,759144.070939246,1
"SOL",14,884734.508956416,"Number of CD4 T cells","CD4","number",8,759144.070939246,1.16543689508341
"SOL",28,2374108.89340145,"Number of CD4 T cells","CD4","number",8,759144.070939246,3.12734958262152
"SOL",60,662506.199943888,"Number of CD4 T cells","CD4","number",8,759144.070939246,0.872701540201988
"TM",8,1286728.03407479,"Number of CD4 T cells","CD4","number",8,1286728.03407479,1
"TM",14,1137767.43065452,"Number of CD4 T cells","CD4","number",8,1286728.03407479,0.884233031786408
"TM",28,2164171.70679126,"Number of CD4 T cells","CD4","number",8,1286728.03407479,1.6819185169517
"TM",60,590856.510409651,"Number of CD4 T cells","CD4","number",8,1286728.03407479,0.459193003309747
"TMd21",8,1040136.67944715,"Number of CD4 T cells","CD4","number",8,1040136.67944715,1
"TMd21",14,998706.649427456,"Number of CD4 T cells","CD4","number",8,1040136.67944715,0.960168667408485
"TMd21",28,2043310.41840591,"Number of CD4 T cells","CD4","number",8,1040136.67944715,1.96446338138173
"TMd21",60,731611.158558892,"Number of CD4 T cells","CD4","number",8,1040136.67944715,0.703379827877771
"IC",8,37.4079651451113,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,37.4079651451113,1
"IC",14,10.9453137396524,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,37.4079651451113,0.292593133499611
"IC",28,22.8632326573803,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,37.4079651451113,0.611186215788276
"IC",60,5.40247816208649,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,37.4079651451113,0.144420530256844
"SOL",8,134.35538067258,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,134.35538067258,1
"SOL",14,41.4718534240104,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,134.35538067258,0.308672813968471
"SOL",28,63.1766094319358,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,134.35538067258,0.470220166216457
"SOL",60,21.4955862791237,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,134.35538067258,0.159990513007498
"TM",8,362.796642269711,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,362.796642269711,1
"TM",14,87.1644486342817,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,362.796642269711,0.240257043419607
"TM",28,118.892726326092,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,362.796642269711,0.327711760456991
"TM",60,108.207406582159,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,362.796642269711,0.298259118125233
"TMd21",8,202.831038569534,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,202.831038569534,1
"TMd21",14,32.3818625666973,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,202.831038569534,0.159649444163331
"TMd21",28,86.1103623484058,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,202.831038569534,0.424542333144371
"TMd21",60,11.0949486922958,"Number of Ly6C+ FOXP3- Teff cells","CD4","number",8,202.831038569534,0.0547004480701915
"IC",8,118.572020582991,"Number of TCM cells","CD4","number",8,118.572020582991,1
